n_train,step,train_acc,test_acc,model_type,dataset
2,1,1.0,0.8,angle,omniglot
2,1,1.0,0.1,angle,omniglot
2,1,1.0,0.5,angle,omniglot
2,1,1.0,0.9,angle,omniglot
2,1,1.0,0.5,angle,omniglot
2,1,1.0,0.9,angle,omniglot
2,1,1.0,1.0,angle,omniglot
2,1,1.0,0.6,angle,omniglot
2,1,1.0,0.7,angle,omniglot
2,1,1.0,0.6,angle,omniglot
5,1,1.0,0.6,angle,omniglot
5,1,1.0,0.5,angle,omniglot
5,1,1.0,0.5,angle,omniglot
5,1,1.0,0.7,angle,omniglot
5,1,1.0,0.8,angle,omniglot
5,1,1.0,0.3,angle,omniglot
5,1,1.0,0.8,angle,omniglot
5,1,1.0,0.6,angle,omniglot
5,1,1.0,0.5,angle,omniglot
5,1,1.0,0.6,angle,omniglot
10,1,1.0,0.6,angle,omniglot
10,1,0.9,0.5,angle,omniglot
10,1,0.9,0.6,angle,omniglot
10,1,0.9,0.3,angle,omniglot
10,1,0.9,0.6,angle,omniglot
10,1,1.0,0.7,angle,omniglot
10,1,0.8,0.6,angle,omniglot
10,1,0.8,0.5,angle,omniglot
10,1,0.9,0.5,angle,omniglot
10,1,0.8,0.5,angle,omniglot
20,1,1.0,0.7,angle,omniglot
20,1,0.95,0.9,angle,omniglot
20,1,0.9,1.0,angle,omniglot
20,1,0.8,1.0,angle,omniglot
20,1,1.0,0.8,angle,omniglot
20,1,0.95,0.7,angle,omniglot
20,1,0.95,0.6,angle,omniglot
20,1,1.0,0.9,angle,omniglot
20,1,0.85,0.9,angle,omniglot
20,1,0.9,0.8,angle,omniglot
40,1,0.875,0.7,angle,omniglot
40,1,0.9,0.9,angle,omniglot
40,1,0.775,0.8,angle,omniglot
40,1,0.875,0.9,angle,omniglot
40,1,0.85,0.9,angle,omniglot
40,1,0.875,0.7,angle,omniglot
40,1,0.875,0.5,angle,omniglot
40,1,0.875,0.8,angle,omniglot
40,1,0.9,0.9,angle,omniglot
40,1,0.875,1.0,angle,omniglot
2,1,1.0,0.6,amplitude,omniglot
2,1,1.0,0.5,amplitude,omniglot
2,1,1.0,0.3,amplitude,omniglot
2,1,1.0,0.3,amplitude,omniglot
2,1,1.0,0.4,amplitude,omniglot
2,1,1.0,0.4,amplitude,omniglot
2,1,1.0,0.6,amplitude,omniglot
2,1,1.0,0.3,amplitude,omniglot
2,1,1.0,0.7,amplitude,omniglot
2,1,1.0,0.5,amplitude,omniglot
5,1,1.0,0.9,amplitude,omniglot
5,1,1.0,0.4,amplitude,omniglot
