n_train,step,train_acc,test_acc
2,1,1.0,0.9
2,1,1.0,0.6
2,1,1.0,0.2
2,1,1.0,0.6
2,1,1.0,0.5
2,1,1.0,0.5
2,1,1.0,0.5
2,1,1.0,0.0
2,1,1.0,0.9
2,1,1.0,0.5
5,1,1.0,0.9
5,1,1.0,0.6
5,1,1.0,0.7
5,1,1.0,0.7
5,1,1.0,0.8
5,1,1.0,0.9
5,1,1.0,0.5
5,1,1.0,0.6
5,1,0.75,0.6
5,1,1.0,0.4
10,1,1.0,0.9
10,1,1.0,0.8
10,1,1.0,0.8
10,1,1.0,0.8
10,1,1.0,1.0
10,1,1.0,1.0
10,1,1.0,0.7
10,1,1.0,0.7
10,1,1.0,0.4
10,1,1.0,0.9
20,1,1.0,1.0
20,1,1.0,1.0
20,1,1.0,1.0
20,1,0.9,0.9
20,1,1.0,1.0
20,1,1.0,0.9
20,1,1.0,0.8
20,1,1.0,0.9
20,1,1.0,1.0
20,1,0.95,0.9
40,1,0.975,0.9
40,1,1.0,0.9
40,1,1.0,0.9
40,1,1.0,1.0
40,1,1.0,0.6
40,1,1.0,0.9
40,1,1.0,1.0
40,1,1.0,0.7
40,1,0.975,1.0
40,1,1.0,1.0
80,1,1.0,1.0
80,1,0.9875,1.0
80,1,1.0,0.9
80,1,0.9875,1.0
80,1,1.0,1.0
80,1,0.9875,0.7
80,1,0.9875,1.0
80,1,1.0,0.9
80,1,0.9875,1.0
80,1,0.9875,0.9
