n_train,step,train_acc,test_acc
2,1,1.0,1.0
2,1,1.0,1.0
2,1,1.0,0.5
2,1,1.0,0.9
2,1,1.0,0.9
2,1,1.0,0.8
2,1,1.0,0.9
2,1,1.0,1.0
2,1,1.0,1.0
2,1,1.0,0.9
5,1,1.0,0.7
5,1,1.0,0.6
5,1,1.0,0.3
5,1,1.0,0.2
5,1,1.0,0.7
5,1,1.0,0.9
5,1,1.0,0.6
5,1,1.0,0.5
5,1,1.0,0.4
5,1,1.0,0.7
10,1,1.0,0.5
10,1,1.0,1.0
10,1,1.0,0.6
10,1,1.0,0.7
10,1,1.0,0.9
10,1,1.0,0.6
10,1,1.0,0.5
10,1,1.0,0.8
10,1,1.0,0.7
10,1,1.0,0.8
20,1,1.0,1.0
20,1,1.0,0.9
20,1,1.0,0.9
20,1,1.0,1.0
20,1,1.0,1.0
20,1,1.0,1.0
20,1,1.0,0.9
20,1,1.0,0.9
20,1,1.0,0.9
20,1,1.0,0.9
40,1,1.0,1.0
40,1,1.0,0.9
40,1,1.0,1.0
40,1,1.0,0.9
40,1,1.0,1.0
40,1,1.0,0.9
40,1,1.0,0.9
40,1,1.0,0.9
40,1,1.0,1.0
40,1,1.0,0.8
80,1,1.0,1.0
80,1,1.0,1.0
80,1,1.0,1.0
80,1,1.0,1.0
80,1,1.0,1.0
80,1,1.0,1.0
80,1,1.0,1.0
80,1,1.0,1.0
80,1,1.0,1.0
80,1,1.0,1.0
